Бренд;ID КАТ;Артикул;Название;Категория;Подкатегория;Цена;Старая цена;Тег;Фото;Описание
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;8.34 Крем-краска MALECULA Светлый золотисто-медный блонд, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;8.4 Крем-краска MALECULA Светлый медный блонд, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;8.8 Крем-краска MALECULA Холодный светло-коричневый блонд, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;9 Крем-краска MALECULA Натуральный Очень Светлый блонд, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;9.0 Крем-краска MALECULA Интенсивный Натуральный Очень Светлый Блонд, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;9.016 Крем-краска MALECULA Очень светлый блонд розовый перламутр, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;9.036 Крем-краска MALECULA Очень светлый блонд розовое золото, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;9.1 Крем-краска MALECULA Пепельный Очень Светлый Блонд, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;9.102 Крем-краска MALECULA Очень Светлый Блонд Метталик Фиолетовый, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;9.13 Крем-краска MALECULA Очень светлый блонд жемчужно-бежевый, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
